name,mfr,type,calories,protein(g),fat(g),sodium(g),fiber(g),carbo(g),sugars(g(,potass(g),vitamins(%),cups,rating
100% Bran,N,C,210,12,3,0.39,30,15,18,0.84,75,1,68.402973
100% Natural Bran,Q,C,120,3,5,0.015,2,8,8,0.135,0,1,33.983679
All-Bran,K,C,210,12,3,0.78,27,21,15,0.96,75,1,59.425505
All-Bran with Extra Fiber,K,C,100,8,0,0.28,28,16,0,0.66,50,1,93.704912
Almond Delight,R,C,146.6666667,2.666666667,2.6666667,0.267,1.333333333,18.66666667,10.66666667,-0.001,33.33333333,1,34.384843
Apple Cinnamon Cheerios,G,C,146.6666667,2.666666667,2.666666667,0.24,2,14,13.33333333,0.093,33.33333333,1,29.509541
Apple Jacks,K,C,110,2,0,0.125,1,11,14,0.03,25,1,33.174094
Basic 4,G,C,173.3333333,4,2.666666667,0.28,2.666666667,24,10.66666667,0.133,33.33333333,1,37.038562
Bran Chex,R,C,134.3283582,2.985074627,1.492537313,0.299,5.970149254,22.3880597,8.955223881,0.187,37.31343284,1,49.120253
Bran Flakes,P,C,134.3283582,4.47761194,0,0.313,7.462686567,19.40298507,7.462686567,0.284,37.31343284,1,53.313813
Cap'n'Crunch,Q,C,160,1.333333333,2.666666667,0.293,0,16,16,0.047,33.33333333,1,18.042851
Cheerios,G,C,88,4.8,1.6,0.232,1.6,13.6,0.8,0.084,20,1,50.764999
Cinnamon Toast Crunch,G,C,160,1.333333333,4,0.28,0,17.33333333,12,0.06,33.33333333,1,19.823573
Clusters,G,C,220,6,4,0.28,4,26,14,0.21,50,1,40.400208
Cocoa Puffs,G,C,110,1,1,0.18,0,12,13,0.055,25,1,22.736446
Corn Chex,R,C,110,2,0,0.28,0,22,3,0.025,25,1,41.445019
Corn Flakes,K,C,100,2,0,0.29,1,21,2,0.035,25,1,45.863324
Corn Pops,K,C,110,1,0,0.09,1,13,12,0.02,25,1,35.782791
Count Chocula,G,C,110,1,1,0.18,0,12,13,0.065,25,1,22.396513
Cracklin' Oat Bran,K,C,220,6,6,0.28,8,20,14,0.32,50,1,40.448772
Cream of Wheat (Quick),N,H,100,3,0,0.08,1,21,0,-0.001,0,1,64.533816
Crispix,K,C,110,2,0,0.22,1,21,3,0.03,25,1,46.895644
Crispy Wheat & Raisins,G,C,133.3333333,2.666666667,1.333333333,0.187,2.666666667,14.66666667,13.33333333,0.16,33.33333333,1,36.176196
Double Chex,R,C,133.3333333,2.666666667,0,0.253,1.333333333,24,6.666666667,0.107,33.33333333,1,44.330856
Froot Loops,K,C,110,2,1,0.125,1,11,13,0.03,25,1,32.207582
Frosted Flakes,K,C,146.6666667,1.333333333,0,0.267,1.333333333,18.66666667,14.66666667,0.033,33.33333333,1,31.435973
Frosted Mini-Wheats,K,C,125,3.75,0,0,3.75,17.5,8.75,0.125,31.25,1,58.345141
Fruit & Fibre Dates; Walnuts; and Oats,P,C,179.1044776,4.47761194,2.985074627,0.239,7.462686567,17.91044776,14.92537313,0.299,37.31343284,1,40.917047
Fruitful Bran,K,C,179.1044776,4.47761194,0,0.358,7.462686567,20.89552239,17.91044776,0.284,37.31343284,1,41.015492
Fruity Pebbles,P,C,146.6666667,1.333333333,1.333333333,0.18,0,17.33333333,16,0.033,33.33333333,1,28.025765
Golden Crisp,P,C,113.6363636,2.272727273,0,0.051,0,12.5,17.04545455,0.045,28.40909091,1,35.252444
Golden Grahams,G,C,146.6666667,1.333333333,1.333333333,0.373,0,20,12,0.06,33.33333333,1,23.804043
Grape Nuts Flakes,P,C,113.6363636,3.409090909,1.136363636,0.159,3.409090909,17.04545455,5.681818182,0.097,28.40909091,1,52.076897
Grape-Nuts,P,C,440,12,0,0.68,12,68,12,0.36,100,1,53.371007
Great Grains Pecan,P,C,363.6363636,9.090909091,9.090909091,0.227,4,39.39393939,12.12121212,0.303,75.75757576,1,45.811716
Honey Graham Ohs,Q,C,120,1,2,0.22,1,12,11,0.045,25,1,21.871292
Honey Nut Cheerios,G,C,146.6666667,4,1.333333333,0.333,2,15.33333333,13.33333333,0.12,33.33333333,1,31.072217
Honey-comb,P,C,82.70676692,0.751879699,0,0.135,0,10.52631579,8.270676692,0.026,18.79699248,1,28.742414
Just Right Crunchy  Nuggets,K,C,110,2,1,0.17,1,17,6,0.06,100,1,36.523683
Just Right Fruit & Nut,K,C,186.6666667,4,1.333333333,0.227,2.666666667,26.66666667,12,0.127,133.3333333,1,36.471512
Kix,G,C,73.33333333,1.333333333,0.666666667,0.173,0,14,2,0.027,16.66666667,1,39.241114
Life,Q,C,149.2537313,5.970149254,2.985074627,0.224,2.985074627,22.3880597,8.955223881,0.142,37.31343284,1,45.328074
Lucky Charms,G,C,110,2,1,0.18,0,12,12,0.055,25,1,26.734515
Maypo,A,H,100,4,1,0,0,16,3,0.095,25,1,54.850917
Muesli Raisins; Dates; & Almonds,R,C,150,4,3,0.095,3,16,11,0.17,25,1,37.136863
Muesli Raisins; Peaches; & Pecans,R,C,150,4,3,0.15,3,16,11,0.17,25,1,34.139765
Mueslix Crispy Blend,K,C,238.8059701,4.47761194,2.985074627,0.224,4.47761194,25.37313433,19.40298507,0.239,37.31343284,1,30.313351
Multi-Grain Cheerios,G,C,100,2,1,0.22,2,15,6,0.09,25,1,40.105965
Nut&Honey Crunch,K,C,179.1044776,2.985074627,1.492537313,0.284,0,22.3880597,13.43283582,0.06,37.31343284,1,29.924285
Nutri-Grain Almond-Raisin,K,C,208.9552239,4.47761194,2.985074627,0.299,4.47761194,31.34328358,10.44776119,0.194,37.31343284,1,40.69232
Nutri-grain Wheat,K,C,90,3,0,0.17,3,18,2,0.09,25,1,59.642837
Oatmeal Raisin Crisp,G,C,260,6,4,0.34,3,27,20,0.24,50,1,30.450843
Post Nat. Raisin Bran,P,C,179.1044776,4.47761194,1.492537313,0.299,8.955223881,16.41791045,20.89552239,0.388,25.67,1,37.840594
Product 19,K,C,100,3,0,0.32,1,20,3,0.045,100,1,41.50354
Puffed Rice,Q,C,50,1,0,0,0,13,0,0.015,0,1,60.756112
Puffed Wheat,Q,C,50,2,0,0,1,10,0,0.05,0,1,63.005645
Quaker Oat Squares,Q,C,200,8,2,0.27,4,28,12,0.22,50,1,49.511874
Quaker Oatmeal,Q,H,149.2537313,7.462686567,2.985074627,0,4.029850746,-1.492537313,-1.492537313,0.164,0,1,50.828392
Raisin Bran,K,C,160,4,1.333333333,0.28,6.666666667,18.66666667,16,0.32,33.33333333,1,39.259197
Raisin Nut Bran,G,C,200,6,4,0.28,5,21,16,0.28,50,1,39.7034
Raisin Squares,K,C,180,4,0,0,4,30,12,0.22,50,1,55.333142
Rice Chex,R,C,97.34513274,0.884955752,0,0.212,0,20.3539823,1.769911504,0.027,22.12389381,1,41.998933
Rice Krispies,K,C,110,2,0,0.29,0,22,3,0.065,25,1,40.560159
Shredded Wheat,N,C,80,2,0,0,3,16,0,0.095,0,1,68.235885
Shredded Wheat 'n'Bran,N,C,134.3283582,4.47761194,0,0,5.970149254,28.35820896,0,0.209,0,1,74.472949
Shredded Wheat spoon size,N,C,134.3283582,4.47761194,0,0,4.47761194,29.85074627,0,0.179,0,1,72.801787
Smacks,K,C,146.6666667,2.666666667,1.333333333,0.093,1.333333333,12,20,0.053,33.33333333,1,31.230054
Special K,K,C,110,6,0,0.23,1,16,3,0.055,25,1,53.131324
Strawberry Fruit Wheats,N,C,90,2,0,0.015,3,15,5,0.09,25,1,59.363993
Total Corn Flakes,G,C,110,2,1,0.2,0,21,3,0.035,100,1,38.839746
Total Raisin Bran,G,C,140,3,1,0.19,4,15,14,0.23,100,1,28.592785
Total Whole Grain,G,C,100,3,1,0.2,3,16,3,0.11,100,1,46.658844
Triples,G,C,146.6666667,2.666666667,1.333333333,0.3,0,28,4,0.08,33.33333333,1,39.106174
Trix,G,C,110,1,1,0.14,0,13,12,0.025,25,1,27.753301
Wheat Chex,R,C,149.2537313,4.47761194,1.492537313,0.343,4.47761194,25.37313433,4.47761194,0.172,37.31343284,1,49.787445
Wheaties,G,C,100,3,1,0.2,3,17,3,0.11,25,1,51.592193
Wheaties Honey Gold,G,C,133.3333333,2.666666667,1.333333333,0.267,1.333333333,21.33333333,10.66666667,0.08,33.33333333,1,36.187559
